马元,875000
广东搏牛文化传播有限公司,757
青岛大盛四海文化传播有限公司,13
伊科·乌艾斯,80100
紫萁,188000
武汉数字领海电影科技有限责任公司,22300
诸葛梓岐,10700000
陈德森,592000
荣蓉,522000
鲁商传媒集团（山东）文化产业有限公司,172000
电广传媒文化发展有限公司,30500
Snapper Films Oy ,31900
张在新,27800
孟丽,1030000
詹姆斯·斯派德,831000
芙蕾达·平托,279000
狮门影业公司,692000
钱冠金融信息服务（上海）有限公司,13000
余心恬,588000
闫鹿杨,296000
游族影业,226000
潘斌龙,848000
Seville Productions ,38200
GAGA ,43500000
深圳美迅嘉润影业投资有限公司,2150
朱永棠,644000
广州南越影视制作有限公司,30900
伯特兰·纳德勒,47400
黎一墨,30500
纪亚文,216000
伊萨赫·德·班克尔,117000
许雅婷,376000
赵成熙,58100
天津津源影视有限责任公司,7800
陈红,11100000
本·威士肖,68400
浙江浙影年代文化传播有限公司,25
凯特·玛拉,1030000
肖明,1150000
郑希怡,1090000
北京复兴影业文化有限公司,8700
红思路电影发行工作室,109000
王章俊,67100
李呈媛,1020000
Earthship Productions ,4070000
博·柯利瑞,1940
潘绍聪,38900
唐丹,471000
朱小妮,9000
吴明轩,238000
西妮德·库萨克,172000
刘芮麟,1000000
杨坤,6690000
汪俊,1410000
浙江华乐盛视影视制作有限公司,2710
马翎雁,107000
宋宁,14800000
李亭哲,128000
莎朗·劳伦斯,102000
耿其昌,280000
马库斯·里尔·布朗,177000
北京华影文轩影视文化有限公司,18900
夏嘉伟,101000
拾万电影制作有限公司,3110
李仁堂,235000
广州金域投资有限公司,278000
彼得·特拉维斯,121000
孙渤涵,16700
浩安（北京）影视文化传媒有限公司,5180
大卫·凯普,184000
张天阳,271000
Union investment Partners ,5180000
smg尚视影业,104000
北京国映盛世文化传媒有限公司,26300
周韵,1540000
罗伯特·梅耶,267000
广东环球数码动画制作有限公司,864000
黄明,4750000
郝岩,319000
北京中视寰影文化传媒中心,43800
alex tanaka,1600000
