Moviename,Type,weight
隔窗有眼,惊悚/惊秫/悬疑,0.24295011408495149
公路美人,爱情,0.24008282951345553
公主的诱惑,爱情/青春/喜剧,0.5883321729687363
功夫,动作/喜剧/犯罪,0.8550448055167807
功夫侠,动作,0.49722788404539064
功夫熊猫3,动画/动作/冒险/喜剧,1.208749024184387
功夫战斗机,动作,0.49722788404539064
宫锁沉香,爱情/古装,0.2680647147026272
恭喜发财之谈钱说爱,喜剧/爱情,0.5266470572282416
咕噜咕噜美人鱼,动画/喜剧/冒险,0.7115211401389963
孤胆保镖,,0.05156649382427688
孤岛,惊悚/恐怖/悬疑,0.243915949843127
孤岛惊魂2,惊悚/悬疑,0.23938750780056572
古堡之吻,爱情,0.24008282951345553
古曼,惊悚,0.1421112205107126
古田会议,剧情/主旋律,0.059017970287631435
古镇凶灵之巫咒缠身,惊悚,0.1421112205107126
拐杖,剧情,0.058927121511060734
怪兽大学,动画,0.09155176631475245
怪谈,惊悚,0.1421112205107126
光的棍,喜剧/爱情,0.5266470572282416
光辉岁月,动作/冒险/爱情,1.0707158596683037
归来,爱情/传记,0.2547304687318688
龟兔再跑,动画,0.09155176631475245
闺蜜,爱情/青春,0.30176794525395023
诡八楼,惊悚/爱情,0.3821940500241681
诡打墙,惊悚/恐怖,0.14663966255327388
诡劫,惊悚/悬疑/爱情,0.4794703373140212
诡拼车,惊悚,0.1421112205107126
诡替身,惊悚/恐怖,0.14663966255327388
诡娃,惊悚/恐怖,0.14663966255327388
诡娃娃,惊悚/恐怖,0.14663966255327388
诡新娘,惊悚/爱情/恐怖,0.38672249206672943
诡魇,惊悚/悬疑,0.23938750780056572
诡婴吉咪,惊悚,0.1421112205107126
诡影迷情,惊悚/恐怖/灵异,0.1469527997420795
诡镇,惊悚,0.1421112205107126
贵族大盗,动作/喜剧,0.7837921117601767
桂宝之爆笑闯宇宙,动画/喜剧,0.3781159940295385
滚蛋吧！肿瘤君,喜剧/爱情/励志,0.5362216650968492
国酒,剧情/爱情,0.2990099510245162
果宝特攻之水果大逃亡,动画/喜剧/冒险,0.7115211401389963
过界男女,爱情,0.24008282951345553
过年好,喜剧,0.28656422771478607
还魂之迷失曼谷,惊悚/悬疑,0.23938750780056572
海岛之恋,爱情,0.24008282951345553
海底大冒险,动画,0.09155176631475245
海底总动员2：寻找多莉,动画/喜剧/冒险,0.7115211401389963
海绵宝宝,动画/喜剧/家庭/冒险,0.7447233662887957
海神密码,动作/冒险/剧情,0.8895601516659091
海啸奇迹,,0.05156649382427688
海洋之歌,,0.05156649382427688
骇战,科幻/爱情/悬疑,0.5302211965694495
寒战2,动作/警匪/悬疑,0.6221578322528603
喊·山,剧情/爱情/犯罪,0.3702626447811203
好命先生,爱情/喜剧,0.5266470572282416
何以笙箫默,爱情,0.24008282951345553
黑海夺金,,0.05156649382427688
黑猫警长之翡翠之星,动画/喜剧/科幻/动作,1.06820595784107
黑月,惊悚/悬疑,0.23938750780056572
横冲直撞好莱坞,喜剧/动作/爱情,1.0238749412736323
红包,喜剧,0.28656422771478607
红髅,惊悚/恐怖,0.14663966255327388
后会无期,爱情/公路/文艺,0.2623490796911883
虎胆龙威5,动作,0.49722788404539064
花样厨神,剧情/喜剧/励志,0.3550659570944545
花漾,爱情/古装/动作,0.7652925987480179
花咒,惊悚/爱情/恐怖,0.38672249206672943
华丽上班族,喜剧/爱情,0.5266470572282416
化妆师,惊悚,0.1421112205107126
坏蛋必须死,喜剧/动作/悬疑/犯罪,0.9523210928066337
坏姐姐之拆婚联盟,爱情/喜剧,0.5266470572282416
环太平洋,科幻/冒险/动作,1.0234951099209895
幻体：续命游戏,科幻/悬疑/惊悚,0.4322495875667066
幻影车神：魔盗激情,,0.05156649382427688
荒村凶间,惊悚/恐怖,0.14663966255327388
荒村怨灵,惊悚/恐怖,0.14663966255327388
荒野猎人,剧情/冒险/惊悚,0.5344434881312311
荒野猎人,剧情/冒险/惊悚,0.5344434881312311
黄飞鸿之英雄有梦,动作/爱情/武侠/功夫,0.7512059104792254
黄金福将,喜剧/爱情,0.5266470572282416
黄金时代,爱情/传记,0.2547304687318688
黄克功案件,剧情/历史,0.06307919544374531
谎言大爆炸,喜剧/悬疑,0.38384051500463917
谎言大爆炸,喜剧/悬疑,0.38384051500463917
谎言西西里,爱情,0.24008282951345553
灰姑娘,爱情/冒险/家庭,0.6066902017727126
回到爱开始的地方,爱情,0.24008282951345553
会飞的小精灵,,0.05156649382427688
火海凌云,,0.05156649382427688
火鸡总动员,动画,0.09155176631475245
火山对对碰,,0.05156649382427688
火线反攻,,0.05156649382427688
火星救援,科幻/动作/冒险,1.0234951099209892
火焰山历险记,动画,0.09155176631475245
火影忍者剧场版：博人传,动画/动作/冒险,0.9221847964696008
霍比特人：五军之战,奇幻/冒险/动作,0.8976015991297422
霍比特人1：意外旅程,奇幻/冒险,0.40037371508435166
霍比特人2：史矛革之战,,0.05156649382427688
击战,,0.05156649382427688
饥饿游戏2:星火燎原,动作/科幻/冒险/惊悚,1.165606330431702
饥饿游戏3：嘲笑鸟（上）,动作/科幻/冒险/惊悚,1.165606330431702
饥饿游戏3：嘲笑鸟（下）,动作/科幻/冒险/惊悚,1.165606330431702
机器纪元,惊悚/科幻,0.3349733002768535
机械战警,科幻/动作,0.6900899638115315
激浪青春,爱情,0.24008282951345553
激战,动作,0.49722788404539064
吉祥宝宝之我是食神,动画/喜剧,0.3781159940295385
吉星高照2015,喜剧,0.28656422771478607
极盗者,动作/犯罪/冒险,0.9018857239114525
