date,box,name_meta,moviename,stars,faxing,zhizuo,daoyan,zhizuor,theme
10/10/2014,2193.38,3D食人虫,3D食人虫,王传君;曹云金;夏梓桐;张梓琳;,广州美亚华天下电影发行有限公司;珠江影业传媒股份有限公司;,深圳市金海岸影业有限公司;美亚长城传媒（北京）有限公司;珠江影业传媒股份有限公司;北京东方画面影业有限公司;,严嘉;,,惊悚/科幻/灾难
10/9/2013,444.29,4B青年之4楼B座,4B青年之4楼B座,姜超;蒲巴甲;董立范;付辛博;孔二狗;夏梓桐;彭宇;陈雅丽;郑浩南;傅颖;刘心悠;田子田;,北京安石英纳电影发行公司;,深圳市金海岸影业有限公司;北京综艺星皓文化传播有限公司;北京文华东润投资有限公司;九龙品天（北京）文化传播有限公司;渝乐（北京）文化传媒有限公司;,孙达;,,喜剧/爱情
19/9/2013,1947.49,5月天诺亚方舟,5月天诺亚方舟,言承旭;林依晨;石头;玛莎;陈信宏;怪兽;林晖闵;冠佑;,,相信音乐唱片公司;,刘名峰;,,纪录片/音乐/歌舞
20/5/2016,40.87,708090之深圳恋歌,708090之深圳恋歌,陈锐;赵奕欢;赵晨妍;吕良伟;温碧霞;李凤鸣;宋智孝;万里;李东瀚;吴克羣;多亮;刘锡贤;商侃;,北京华信博文化传媒有限公司;深圳同盈股权投资基金管理有限公司;,美亚电影制作有限公司;深圳同盈股权投资基金管理有限公司;深圳市美亚文化传播有限公司;深圳优美影视制作有限公司;,邓鉴泉;林依琦;陈木川;,,爱情/剧情/青春/励志
21/2/2014,36.01,80后的独立宣言,80后的独立宣言,侯勇;许还山;李洪涛;张佳宁;张浩天;刘帅良;杨冬;何赛飞;马德华;苏晴;曹炳琨;,华夏电影发行有限责任公司;,浙江浙影年代文化传播有限公司;,森岛;,,剧情/青春/励志
28/9/2013,2119.87,81号农场之保卫麦咭,81号农场之保卫麦咭,,上海河马动画设计股份有限公司;上海炫动传播股份有限公司;,上海河马动画设计股份有限公司;湖南金鹰卡通有限公司;上海炫动传播股份有限公司;上海视金石动画有限公司;,徐克;,,动画
1/10/2014,1798.54,81号农场之疯狂的麦咭,81号农场之疯狂的麦咭,,上海电影（集团）有限公司;幻克影业;,上海河马动画设计股份有限公司;湖南电视台金鹰卡通卫视;上海全土豆网络科技有限公司;,徐克;赵文杰;,,动画
31/1/2014,37.91,U盘,U盘,董立范;唐爱国;辛凯;阿速;小么哥;田昊;魏婷婷;杨蕊;肖雨雨;颜冠英;白云;杨珑;,山东龙视天下传媒集团有限公司;,神州金马影视文化传媒;山东龙视天下传媒集团有限公司;,徐志强;,,喜剧
23/5/2014,61321.19,X战警：逆转未来,X战警：逆转未来,范冰冰;休·杰克曼;安娜·帕奎因;奥马·希;彼特·丁拉基;哈莉·贝瑞;丹尼尔·库德摩尔;拉里·戴;艾伦·佩基;卢卡斯·提尔;伊万·彼得斯;尼古拉斯·霍尔特;伊恩·麦克莱恩;詹姆斯·麦卡沃伊;波波·斯图尔特;肖恩·阿什莫;迈克尔·法斯宾德;帕特里克·斯图尔特;詹妮弗·劳伦斯;,华夏电影发行有限责任公司;,20世纪福克斯电影公司;美国漫威影业公司;,布莱恩·辛格;,,科幻/动作/冒险
3/6/2016,69994.74,X战警：天启,X战警：天启,托马斯·雷玛奎斯;斯坦·李;柯蒂·斯密特-麦菲;卢卡斯·提尔;伊万·彼得斯;奥斯卡·伊萨克;尼古拉斯·霍尔特;奥立薇娅·玛恩;詹姆斯·麦卡沃伊;迈克尔·法斯宾德;詹妮弗·劳伦斯;索菲·特纳;泰尔·谢里丹;亚历山德拉·西普;萝丝·拜恩;本·哈迪;拉娜·孔多尔;乔什·赫尔曼;乔·科布登;,20世纪福克斯电影公司;华夏电影发行有限责任公司;Odeon ;Twentieth Century Fox C.I.S. ;Westec Media Limited ;Big Picture 2 Films ;二十世纪福斯电影公司;二十世纪福斯公司;20世纪福克斯阿根廷分公司;SF Film Finland ;Sena ;二十世纪福斯德国分公司;华纳兄弟公司;二十世纪福斯荷兰分公司;20th Century Fox de Chile ;Blitz Film & Video Distribution ;20,20世纪福克斯电影公司;TSG Entertainment ;二十世纪福斯电影公司;漫威娱乐;Donners' Company ;Bad Hat Harry Productions ;Mel's Cite du Cinema ;Kinberg Genre ;,布莱恩·辛格;,斯坦·李;布莱恩·辛格;西蒙·金伯格;劳伦·舒勒·唐纳;约翰·奥特曼;todd hallowell;josh mclaglen;kathleen mcgill;,动作/科幻/冒险
30/4/2016,506.25,阿里巴巴2所罗门封印,阿里巴巴2所罗门封印,,北京锋尚锐志文化传媒有限公司;合肥泰尚文化科技有限公司;中影数字电影发展(北京)有限公司;峨眉电影集团有限公司;,北京锋尚锐志文化传媒有限公司;合肥泰尚文化科技有限公司;峨眉电影集团有限公司;峨眉电影集团;,郑成峰;,,动画/喜剧/冒险
23/5/2015,1565.74,阿里巴巴大盗奇兵,阿里巴巴大盗奇兵,,世纪环球电影院线发展有限公司;北京新华环球影视文化传播有限公司;河南奥斯卡院线有限责任公司;四川省太平洋电影院线有限公司;北京锋尚锐志文化传媒有限公司;重庆保利万和院线;武汉天河影业有限公司;浙江星光电影院线有限公司;北京世贸电影院线有限公司;,北京锋尚锐志文化传媒有限公司;合肥泰尚文化科技有限公司;峨眉电影集团有限公司;,郑成峰;,,动画/喜剧/冒险
22/2/2013,46.71,阿嬷的梦中情人,阿嬷的梦中情人,彭鹏;蓝正龙;天心;王柏杰;龙劭华;李亦捷;黄采仪;侯彦西;沈海蓉;,,宝米数位有限公司;台北影业股份有限公司;阿荣企业有限公司;瀚草影视文化事业有限公司;,北村丰晴;萧力修;,,爱情/喜剧
13/12/2013,237.07,啊朋友还钱,啊朋友还钱,聂远;胡可;王同辉;冯嘉怡;焦恩俊;佟磊;刘云天;,北京紫禁城三联影视发行有限公司;,湖南乐田电影媒体有限公司;天籁锐联（北京）文化传媒有限公司;北京世纪美名广告有限公司;峨眉电影集团有限公司;,卫捷;李理;,,喜剧
