Moviename,month,weight
王牌情敌,6,0.0994807927657334
王牌特工：特工学院,3,0.06869869288535177
王子与108煞,8,0.08684763728338371
妄想症,5,0.057518920082634255
忘了去懂你,8,0.08684763728338371
危城,8,0.08684763728338371
危机行动,7,0.1285874696349652
危情营救,1,0.08189636323052459
微爱之渐入佳境,12,0.08869781338527857
微微一笑很倾城,8,0.08684763728338371
为爱放手,9,0.09156828525468516
味道中国,1,0.08189636323052459
我爱的是你爱我,11,0.05018587969068192
我爱灰太狼2,8,0.08684763728338371
我爸比我小四岁,8,0.08684763728338371
我不是王毛,3,0.06869869288535177
我不是贼,11,0.05018587969068192
我的“狐朋狗友”,1,0.08189636323052459
我的1000万,4,0.0919951917211108
我的播音系女友,5,0.057518920082634255
我的个神啊,5,0.057518920082634255
我的老婆是明星,4,0.0919951917211108
我的老婆是只猫,2,0.11816418032921183
我的美丽王国,12,0.08869781338527857
我的男男男男朋友,11,0.05018587969068192
我的男友和狗,6,0.0994807927657334
我的青春蜜友,10,0.03635877373643945
我的青春期,11,0.05018587969068192
我的少女时代,11,0.05018587969068192
我的特工爷爷,4,0.0919951917211108
我的新野蛮女友,4,0.0919951917211108
我的早更女友,12,0.08869781338527857
我的战争,9,0.09156828525468516
我就是我,7,0.1285874696349652
我们毕业的夏天,8,0.08684763728338371
我们毕业啦,6,0.0994807927657334
我们诞生在中国,8,0.08684763728338371
我们的十年,9,0.09156828525468516
我是大熊猫之熊猫大侠,8,0.08684763728338371
我是狼之火龙山大冒险,5,0.057518920082634255
我是路人甲,7,0.1285874696349652
我是你的野蛮女友,9,0.09156828525468516
我是女王,4,0.0919951917211108
我是谁2015,6,0.0994807927657334
我是证人,10,0.03635877373643945
我为相亲狂,11,0.05018587969068192
我想和你好好的,10,0.03635877373643945
我要你开花,1,0.08189636323052459
我在路上最爱你,3,0.06869869288535177
我只要我们在一起,2,0.11816418032921183
我最好朋友的婚礼,8,0.08684763728338371
卧虎藏龙：青冥宝剑,2,0.11816418032921183
无处可逃,7,0.1285874696349652
无敌小飞猪,4,0.0919951917211108
无人区,12,0.08869781338527857
午夜43路,6,0.0994807927657334
午夜火车,3,0.06869869288535177
午夜微博,3,0.06869869288535177
午夜寻访录,4,0.0919951917211108
勿忘初心,8,0.08684763728338371
西柏坡2：王二小,4,0.0919951917211108
西藏天空,4,0.0919951917211108
西游&middot;降魔篇,2,0.11816418032921183
西游记之大闹天宫,1,0.08189636323052459
西游记之大圣归来,7,0.1285874696349652
西游记之孙悟空三打白骨精,2,0.11816418032921183
西游新传2：真心话大冒险,7,0.1285874696349652
犀利人妻,12,0.08869781338527857
喜剧王,1,0.08189636323052459
喜马拉雅天梯,10,0.03635877373643945
喜羊羊与灰太狼之飞马奇遇记,1,0.08189636323052459
喜羊羊与灰太狼之喜气羊羊过蛇年,1,0.08189636323052459
喜羊羊与灰太狼之羊年喜羊羊,1,0.08189636323052459
侠探杰克,2,0.11816418032921183
下一站再爱你,8,0.08684763728338371
夏洛特烦恼,9,0.09156828525468516
夏日示爱,8,0.08684763728338371
夏有乔木 雅望天堂,8,0.08684763728338371
相伴库里申科,8,0.08684763728338371
向阳花开,12,0.08869781338527857
像素大战,9,0.09156828525468516
消失爱人,1,0.08189636323052459
消失的凶手,11,0.05018587969068192
萧红,3,0.06869869288535177
小黄人大眼萌,9,0.09156828525468516
小蚂蚁之环球大冒险,5,0.057518920082634255
小门神,1,0.08189636323052459
小魔仙之黑魔法来袭,9,0.09156828525468516
小神来了,8,0.08684763728338371
小时代,6,0.0994807927657334
小时代:青木时代,8,0.08684763728338371
小时代3：刺金时代,7,0.1285874696349652
小时代4：灵魂尽头,7,0.1285874696349652
小时代4：灵魂尽头（纪录片版）,7,0.1285874696349652
小王子,10,0.03635877373643945
小小飞虎队,1,0.08189636323052459
小羊肖恩,7,0.1285874696349652
小猪班纳大电影之梦想大“帽”险,6,0.0994807927657334
校车,9,0.09156828525468516
校花诡异事件,7,0.1285874696349652
笑功震武林,3,0.06869869288535177
心花路放,9,0.09156828525468516
心迷宫,10,0.03635877373643945
心战,10,0.03635877373643945
心咒,5,0.057518920082634255
辛巴达历险记2,5,0.057518920082634255
辛巴达历险记2013,5,0.057518920082634255
新步步惊心,8,0.08684763728338371
新大头儿子和小头爸爸2一日成才,8,0.08684763728338371
新大头儿子和小头爸爸之秘密计划,9,0.09156828525468516
新年行动,2,0.11816418032921183
新年来啦之大闹除夕,2,0.11816418032921183
新娘大作战,8,0.08684763728338371
星爸客,4,0.0919951917211108
星际穿越,11,0.05018587969068192
星际迷航：暗黑无界,5,0.057518920082634255
星际迷航3：超越星辰,9,0.09156828525468516
星球大战：原力觉醒,1,0.08189636323052459
星语心愿之再爱,9,0.09156828525468516
猩球崛起：黎明之战,8,0.08684763728338371
刑警兄弟,4,0.0919951917211108
幸福很囧,9,0.09156828525468516
幸福快递,11,0.05018587969068192
幸福梦想,5,0.057518920082634255
幸福中转栈,3,0.06869869288535177
幸运是我,8,0.08684763728338371
幸运是我,8,0.08684763728338371
熊出没之夺宝熊兵,1,0.08189636323052459
熊出没之熊心归来,1,0.08189636323052459
熊出没之雪岭熊风,1,0.08189636323052459
绣春刀,8,0.08684763728338371
轩辕剑传奇,8,0.08684763728338371
悬战,5,0.057518920082634255
旋风九日,5,0.057518920082634255
雪国列车,3,0.06869869288535177
血彩,4,0.0919951917211108
寻龙诀,12,0.08869781338527857
寻找心中的你,3,0.06869869288535177
寻找心中的你,3,0.06869869288535177
驯龙高手2,8,0.08684763728338371
驯龙骑士,3,0.06869869288535177
亚马逊萌猴奇遇记,9,0.09156828525468516
阳光留守,6,0.0994807927657334
阳光总在风雨后,4,0.0919951917211108
杨光的快乐生活,2,0.11816418032921183
洋妞到我家,8,0.08684763728338371
妖医,5,0.057518920082634255
摇滚藏獒,7,0.1285874696349652
摇滚英雄,6,0.0994807927657334
野草莓,11,0.05018587969068192
叶问：终极一战,3,0.06869869288535177
叶问3,3,0.06869869288535177
夜半哭声,9,0.09156828525468516
夜半梳头,6,0.0994807927657334
夜孔雀,5,0.057518920082634255
