0.5的爱情,﻿爱情,2014/9/12,蒲巴甲;李悦铭;江语晨;龚洁;,北京帧画影视文化传播有限公司;,河北志宝文化传媒有限公司;北京上视之光影视科技有限公司;,邢潇;,,56,1,1
隔窗有眼,惊悚/惊秫/悬疑,2013/8/28,胡明;小麦;乌达木;,广州美亚华天下电影发行有限公司;北京盛世华锐电影投资管理有限公司;北京盛世新影影视发行有限公司;,北京广电影视传媒有限公司;美亚长城传媒（北京）有限公司;北京盛世华锐电影投资管理有限公司;北京航美影视文化有限公司;中金华泰投资有限公司;红扁担（北京）文化传播有限公司;,刘奋斗;,,175.4,1,1
雏鸟的天空,剧情,2016/1/19,李凤绪;杨小米;李金哲;陈瑞加;赵贶;杨悦;韩继庆;林益柏;,杭州辉煌文化传播有限公司;杭州辉煌文化传媒有限公司;,杭州明朗影视制作有限公司;奉化市广播电视中心;奉化广播电视中心;奉化名扬文化传媒有限公司;奉化市名扬文化传媒有限公司;奉化市大堰镇人民政府;浙江星满天文化创意有限公司;,占俊科;,徐海刚;林佩锋;,2.7,1,1
雨中的树,纪实/传记,2012/9/19,刘佩琦;雷恪生;闫妮;倪大红;岳红;马精武;李梦男;李琳;王茜华;吴军;丁柳元;果静林;邹俊百;王成阳;武利平;范艳;徐海乔;王志飞;,,,尹力;,,2391.7,1,1
雨夜惊魂,惊悚/恐怖,2015/11/6,董玉峰;王李丹妮;蓝燕;,深圳金蔷薇电影发行有限公司;海宁蔓投文化传媒有限公司;维乐享电影文化（北京）有限公司;北京鱼化龙电影发行有限公司;,北京鱼化龙文化传播有限公司;北京来古文化有限公司;深圳市金蔷薇影视传媒有限公司;合肥云水文化传播有限公司;北京瑄然飞扬影视文化有限公司;,刘天荣;,,246,1,1
雨果,,2013/1/31,萨莎·拜伦·科恩;海伦·麦克洛瑞;迈克尔·斯图巴;理查德·格雷弗斯;弗朗西斯·德·拉·图瓦;艾米莉·莫迪默;露西·斯卡菲;阿沙·巴特菲尔德;克里斯托弗·李;本·金斯利;雷·温斯顿;科洛·格蕾斯·莫瑞兹;迈克尔·皮特;裘德·洛;,哥伦比亚影片公司;Ascot Elite Entertainment Group ;华夏电影发行有限责任公司;Pinema ;Eagle Films ;,派拉蒙影业公司;Infinitum Nihil Production ;,马丁·斯科塞斯;,,2009.180000,2,2
雪国列车,科幻,2014/3/17,克里斯·埃文斯;蒂尔达·斯文顿;宋康昊;艾文·布莱纳;肯尼·道提;托马斯·雷玛奎斯;奥克塔维亚·斯宾瑟;弗拉德·伊凡诺夫;艾德·哈里斯;杰米·贝尔;约翰·赫特;艾丽森·皮尔;卢克·帕斯夸尼洛;高雅星;,,韩国希杰娱乐株式会社;,奉俊昊;,,7485.9,1,1
雪花秘扇,,2013/11/18,姜武;吕中;李冰冰;沈丹萍;孙飞虎;蒋怡;陆弈静;邬君梅;高圣远;全智贤;休·杰克曼;方舟波;阿奇·高;王盛德;唐莹;胡靖筠;詹妮弗·林;,上海电影股份有限公司影视发行分公司;华谊兄弟传媒股份有限公司;福克斯探照灯公司;,上海电影（集团）有限公司;北京华亿联盟文化传媒投资有限公司;华谊兄弟传媒股份有限公司;时尚传媒集团;idg中国媒体基金;,王颖;,,3499.180000,2,2
零点杀机,惊悚/恐怖,2015/10/16,周杰;吴启华;成琪;王煜;郭超;,河南视界文化传媒有限公司;梦影时光（北京）文化传媒有限公司;,河南视界文化传媒有限公司;梦影时光（北京）文化传媒有限公司;深圳市知慧文化传播有限公司;北京鸣昊众星文化发展有限公司;少一点影视文化传媒（大连）有限公司;北京皖泊星辰文化发展有限公司;北京恒丰影视文化传媒有限公司;,王择谚;,,46.6,1,1
雷神,,2013/11/7,安东尼·霍普金斯;浅野忠信;克里斯·海姆斯沃斯;凯特·戴琳斯;斯特兰·斯卡斯加德;马提亚斯·施维赫夫;艾德里安娜·巴拉扎;蕾妮·罗素;科鲁姆·费奥瑞;斯坦·李;雷·史蒂文森;汤姆·希德勒斯顿;塞缪尔·杰克逊;克拉克·格雷格;达科塔·高尤;迈克尔·帕帕约翰;乔舒华·达拉斯;伊德瑞斯·艾尔巴;杰瑞米·雷纳;杰米·亚历山大;马特·巴特格里亚;娜塔莉·波特曼;j·迈克尔·斯特拉辛斯基;,Argentina Video Home ;派拉蒙影业公司;Paramount Home Entertainment ;United International Pictures (UIP) ;Universal Pictures Benelux ;华夏电影发行有限责任公司;FX Networks ;Odeon ;Paramount Pictures ;Paramount Japan ;Zon Lusomundo Audiovisuais ;Forumcinemas ;Paramount Pictures,派拉蒙影业公司;惊奇娱乐公司;美国漫威影业公司;Marvel Entertainment ;,肯尼思·布拉纳;,,9008.620000,2,2
雷神2：黑暗世界,动作,2013/11/8,安东尼·霍普金斯;浅野忠信;克里斯·海姆斯沃斯;乔纳森·布鲁克斯;凯特·戴琳斯;斯特兰·斯卡斯加德;阿德沃尔·阿吉纽依-艾格拜吉;克里斯·奥多德;克里夫·罗素;安德鲁·克雷福德;扎克瑞·莱维;蕾妮·罗素;斯坦·李;雷·史蒂文森;汤姆·希德勒斯顿;格伦·史坦威;本尼西奥·德尔·托罗;伊德瑞斯·艾尔巴;杰米·亚历山大;克里斯托弗·埃克莱斯顿;理查德·布雷克;娜塔莉·波特曼;,华夏电影发行有限责任公司;,美国漫威影业公司;,艾伦·泰勒;,,34239.9,1,1
雷锋在1959,纪实,2013/3/5,刘之冰;岳红;李强;冯国庆;钟秋;刘鹏;葛晓凤;宁宁;马奕;肖婷佳;,华夏电影发行有限责任公司;,八一电影制片厂;辽宁广播电视台;,宁海强;,,51.7,1,1
雷锋的微笑,纪实,2013/3/5,巫刚;侯天来;冯恩鹤;马晓伟;刘继忠;许剑;万思维;唐国强;李幼斌;,华夏电影发行有限责任公司;,八一电影制片厂;长安法制电视制作中心;,张玉中;,,45,1,1
霍比特人1：意外旅程,奇幻/冒险,2013/2/22,奥兰多·布鲁姆;李·佩斯;本尼迪克特·康伯巴奇;马丁·弗瑞曼;伊万杰琳·莉莉;凯特·布兰切特;伊恩·麦克莱恩;詹姆斯·内斯比特;卢克·伊万斯;克里斯托弗·李;比利·康诺利;理查德·阿米塔格;雨果·维文;肯·斯托特;安迪·瑟金斯;克里格·霍尔;伊利亚·伍德;伊安·霍姆;米克尔·佩斯勃兰特;,米高梅电影公司;,新线电影公司;,彼得·杰克逊;,,31628.7,1,1
霍比特人：五军之战,奇幻/冒险/动作,2015/1/23,奥兰多·布鲁姆;李·佩斯;本尼迪克特·康伯巴奇;伊万杰琳·莉莉;凯特·布兰切特;詹姆斯·内斯比特;卢克·伊万斯;艾丹·特纳;克里斯托弗·李;比利·康诺利;雨果·维文;马丁·弗瑞曼;肯·斯托特;柯南·史蒂文斯;约翰·贝尔;彼得·汉布尔顿;威廉·柯切尔;马克·海德罗;亚当·布朗;约翰·卡伦;杰德·布罗菲;史蒂芬·亨特;理查德·阿米蒂奇;伊恩·麦克莱恩;迪恩·奥戈尔曼;马努·贝内特;伊利亚·伍德;布雷特·麦肯奇;伊安·霍姆;格拉汉姆·麦克塔维什;西尔维斯特·麦考伊;米克尔·佩斯勃兰特;史蒂芬·科拜尔;,,新线电影公司;米高梅电影公司;,彼得·杰克逊;,,76607.7,1,1
霍比特人：史矛革之战,奇幻/冒险/剧情/动作,2014/2/21,奥兰多·布鲁姆;李·佩斯;本尼迪克特·康伯巴奇;伊万杰琳·莉莉;凯特·布兰切特;詹姆斯·内斯比特;卢克·伊万斯;艾丹·特纳;克里斯托弗·李;比利·康诺利;雨果·维文;马丁·弗瑞曼;肯·斯托特;安迪·瑟金斯;斯蒂芬·弗雷;杰弗里·托马斯;柯南·史蒂文斯;约翰·贝尔;彼得·汉布尔顿;威廉·柯切尔;马克·海德罗;亚当·布朗;约翰·卡伦;杰德·布罗菲;史蒂芬·亨特;理查德·阿米蒂奇;伊恩·麦克莱恩;迪恩·奥戈尔曼;马努·贝内特;克里格·霍尔;斯蒂芬·尤里;格雷格·艾里斯;伊安·霍姆;格拉汉姆·麦克塔维什;西尔维斯,米高梅电影公司;,新线电影公司;米高梅电影公司;,彼得·杰克逊;,,46272.9,1,1
露水红颜,爱情,2014/11/7,王学兵;孙海英;董勇;邵峰;唐嫣;林依轮;陈冲;安志杰;刘亦菲;郑智薰;,华夏电影发行有限责任公司;北京星光灿烂影视文化有限公司;东阳新视觉影视文化有限公司;,华夏电影发行有限责任公司;北京星光灿烂影视文化有限公司;北京若水彤云影视文化传媒有限公司;襄阳百纳影视文化有限公司;浙江淘宝网络有限公司;东阳新视觉影视文化有限公司;北京希世纪影视文化发展有限公司;北京光线传媒股份有限公司;北京华图宏阳教育文化发展股份有限公司;上海格瓦商务信息咨询有限公司;广东浙银投资控股有限公司;上海慧宇投资发展有限公司;华泉中天文化发展有限公司;东阳万树影视传播有限公司;上海酷哇伊文化传媒有限公司;天津广播电视台;,高希希;,,6636.9,1,1
霸王别姬（京剧）,,2015/5/5,史依弘;尚长荣;,,上海电影（集团）有限公司;,滕俊杰;,,98.410000,2,2
霹雳囧花,喜剧/动作,2016/2/26,周秀娜;卓韵芝;童冰玉;卢颂之;徐天佑;余晓彤;,中国电影集团公司;,狮子山制作有限公司;香港电影发展基金会;,卓韵芝;,,8.3,1,1
青春搏击,,2016/5/20,李颖;谢君豪;李奔;曹帅;谢朦;,,云南民族电影制片厂;美感（上海）文化传媒有限公司;,王俊;陈星海;,,16.780000,2,2
青春时光,爱情/青春,2014/11/28,彤阳;张雷雨;郑中玉;房程程;李欣蔓;孙启恒;邢城;关宇;周甜甜;张云海;徐嘉苇;,北京金亿乾坤影视文化传媒有限公司;深圳市莱科文化科技有限公司;,深圳华玺文化传媒有限公司;,王静儿;,,7.3,1,1
青春派,爱情/青春,2013/8/2,秦海璐;咏梅;蒋小涵;董子健;安悦溪;侯孝贤;焦刚;高浩元;蒋雪鸣;李天浩;谭楚峰;郄路通;,,国家新闻出版广电总局电影卫星频道节目制作中心;湖北黄冈广电数字传媒有限公司;湖北远东卓越影视传媒有限公司;,刘杰;,,2813.3,1,1
青春笔记,爱情,2015/12/15,,,深圳诺亚星光文化传播有限公司;,,,0,1,1
青春雷锋,纪实/传记,2013/3/4,成泰燊;颜世魁;种丹妮;孙健淇;张江诗琴;胡家华;,,湖南潇影第二影业有限公司;湖南锦绣神州影视文化有限公司;共青团中央宣传部;珠海怡华通投资有限公司;,刘一君;,,99.7,1,1
青涩日记,喜剧/爱情,2016/1/22,陈赋;季纯伊;季燕飞;危燕;马钰;左夏初;方涵;唐少涵;罗良健;李进;,三月谷雨（北京）文化传媒有限公司;珠海山中木文化传播有限公司;,北京灵思沸点影业有限公司;珠海山中木文化传播有限公司;,谢悠;,裴蓓;,45.5,1,1
青蛙总动员,动画/冒险,2016/4/30,李金燕;白涛;吉静;郭政建;王秋明;谷峰;滕奎兴;,北京基点影视文化传媒有限公司;北京时代黎明文化传媒有限公司;,北京海晏和清影视文化有限公司;北京说说唱唱文化传媒有限公司;万通影音科技股份有限公司;,杨仁贤;,,1008.6,1,1
青蛙王国,动画,2013/12/28,姜瑰瑾;石斑瑜;,万达影视传媒有限公司;,航美传媒集团;吉林禹硕动漫游戏科技股份有限公司;吉林禹硕影视传媒股份有限公司;吉林动画学院;,尼尔森·申;,,1776.9,1,1
青蛙王国之冰冻大冒险,动画/喜剧/冒险,2016/2/19,孙楠;买宝瑶;石班瑜;姜瑰瑾;,北京亚细亚影视制作发行有限公司;北京春秋永乐文化传播有限公司;,吉林禹硕影视传媒股份有限公司;吉林动画学院;吉林纪元时空动漫游戏科技集团股份有限公司;吉林天博影视制作股份有限公司;吉林炫通网络科技股份有限公司;,彭飞;常光希;,,434.2,1,1
非你勿扰,爱情/喜剧,2015/8/20,张磊;穆婷婷;姜潮;大左;肖旭;,浙江东阳四月天影视文化有限公司;,北京大华影语文化传播有限公司;希版图（北京）文化传媒有限公司;北京泰丰时代文化发展有限公司;北京电影家协会;山东美雪畅联文化影视传媒有限公司;,赵艺然;,,46.4,1,1
非同小可,爱情/励志,2016/1/29,孙海英;吕丽萍;张博宇;汤镇宗;朱子岩;吴怡佳;,深圳善为影业股份有限公司;中国电影发行放映协会;,河北电影制片厂;北京一江春水影视文化传播有限公司;深圳银河星光国际影视文化传媒有限公司;,李宝生;,,5.2,1,1
非常幸运,爱情/冒险/喜剧,2013/9/17,章子怡;姚晨;林心如;王力宏;,,威秀影业;重庆大地影业文化发展有限公司;,邓尼·戈登;,,13711.7,1,1
非常绑匪,喜剧,2012/6/29,姜武;张默;邬祯琳;,,奥山影视文化湖北有限公司;,李学兵;,,192.5,1,1
非常营救,,2016/2/18,任帅;汪洋;董彦麟;王双宝;胡影怡;赵文瑄;,上海善喜影视传媒有限公司;上海影业文化传播有限公司;,浙江天翔影视文化有限公司;,毛坚;徐博;,,138.120000,2,2
非狐外传,爱情/古装/喜剧/魔幻,2014/3/14,林雪;方力申;周秀娜;何美钿;阴海龙;张建波;杨泽湖;黄俊淇;郝在冬;范福林;贾康熙;蔡紫芬;刘俊纬;蒙伟明;谈莉娜;,广东大地电影院线有限公司;珠江影业传媒股份有限公司;,珠江电影集团有限公司;广东珠影影视制作有限公司;香港峻东娱乐有限公司;广州富瑭投资有限公司;广州珠影数字音画传媒有限公司;国瑞影都文化发展（北京）有限公司;,钱升玮;,,609.4,1,1
非秀不可,爱情/都市/励志,2013/6/14,佴文;苟伟;陶辚竹;马太;文瑶;宫正楠;王芊;李宛仪;李亭哲;徐冲;,四川通达艺鑫影视文化传播有限公司;峨眉电影集团有限公司;,四川通达艺鑫影视文化传播有限公司;,钱路劼;,,33.8,1,1
面孔,剧情,2014/12/31,,,北京格里芬影视文化传媒有限公司;,,,0,1,1
顺风车,喜剧/爱情,2015/6/5,王凯;邵峰;周晓鸥;马艳丽;李璐茜;夏华;水皮;石述思;赵普;邬瑗忆;袁岳;王小龙;张倬闻;张会中;王永;,北京维森纳瑞影视文化有限公司;,武汉世纪恒星影视文化发展有限公司;北京华夏影人影视文化有限公司;,岳晓琳;李广德;,,51.1,1,1
顾家姆妈,剧情,2014/4/10,,,苏州市滑稽剧团;中国文学艺术界联合会;中国戏剧家协会;,,,0,1,1
风云1927,战争/历史,2014/5/23,巫刚;刘之冰;侯天来;冯恩鹤;马晓伟;丁柳元;颜世魁;周征波;马晓明;王晖;侯祥玲;荆明华;金鑫;黄品源;王欢;李幼斌;,华夏电影发行有限责任公司;湖北银兴院线影业有限责任公司;武汉天河影业有限公司;,八一电影制片厂;湖北电影制片厂;中共湖北省委宣传部;武汉市汉口历史文化风貌街区经营管理有限公司;中共武汉市委宣传部;中共武汉市江岸区委员会;,张玉中;,,107.6,1,1
风口青春,爱情/喜剧,2016/1/29,姜怡伊;屠夏岩;陈伟栋;侯迪;卢蒽洁;,天雄圣视（北京）文化传媒有限公司;,北京嘉合映画影视文化传媒有限公司;天雄圣视（北京）文化传媒有限公司;镇江企联文化传媒有限公司;华夏中影（北京）文化传媒有限公司;,周晓鹏;,,4.9,1,1
风暴,动作/警匪,2013/12/12,胡军;姚晨;刘德华;吕良伟;唐文龙;洪天照;王敏德;林家栋;梁烈唯;徐家杰;姜皓文;黄德斌;王祖蓝;尹子维;张兆辉;,上海电影股份有限公司影视发行分公司;安乐（北京）电影发行有限公司;北京联瑞影业有限公司;西安银都电影发行有限公司;,香港银都机构有限公司;安乐影片有限公司;映艺娱乐有限公司;广东雅信文化传播有限公司;盛合经纬文化传媒（香港）有限公司;中国梦电影文化产业有限公司;合信中金投资管理公司;好朋友娱乐有限公司;优酷土豆;,袁锦麟;,,30833.9,1,1
风雨日升昌,纪实,2015/12/18,阎维文;郑晓宁;,,八一电影制片厂;山西世纪博奥影视文化有限公司;山西电影制片厂(有限公司);,郭继政;,,0.6,1,1
飘落的羽毛,爱情,2013/11/29,郑晓东;刘筱筱;屈菁菁;董可飞;刘洋影子;,,宝米数位有限公司;北京岐波盛世文化传媒有限公司;北京真之影文化发展有限公司;苏州抹天印画文化发展有限公司;,王艺;,,32.2,1,1
飞天,,2013/2/22,巫刚;刘之冰;牛莉;岳红;冯恩鹤;马晓伟;于波;于博;王晶;柏青;王澜;赵晓明;吴其江;姜瑞佳;张小斐;张小裴;许剑;徐箭;今欣;李幼斌;,华夏电影发行有限责任公司;,八一电影制片厂;,沈东;王珈;,,6009.020000,2,2
飞扬的青春,,2016/5/19,普超英;何美钿;蒋一萌;郑岚侨;邓刚;关新伟;宗峰岩;,,北京艺海星光国际文化发展有限公司;广州盛世华映文化传播有限公司;北京金润佳宏影视文化有限公司;,陶明喜;,,5.050000,2,2
飞越老人院,,2013/4/17,牛犇;徐帆;许还山;陈坤;韩童生;廖凡;仲星火;陶玉玲;颜丙燕;刘江;黄素影;果静林;管宗祥;田华;吴天明;张华勋;戴军;王德顺;江化霖;蔡鸿翔;许建海;李滨;贾凤森;唐佐辉;高歌;斯琴高娃;,大盛国际传媒（北京）有限公司;,北京电影学院青年电影制片厂;大盛国际传媒（北京）有限公司;麦颂影视投资（上海）有限公司;北京紫禁城影业有限责任公司;和力辰光国际文化传媒（北京）有限公司;,张杨;,,525.840000,2,2
飞跃地心,动画/儿童/灾难,2014/8/9,龚蓓苾;张芝华;杨宇涵;金粮;陈薪羽;,,重庆享弘影视股份有限公司;,陈苗;,,32.4,1,1
飞鱼秀,纪实/记录,2014/10/23,喻舟;胡昆（小飞）;,艺东方影视创意工场;,清影互动（北京）广告有限公司;北京时越网络科技有限公司;北京艺亨东方教育科技有限责任公司;,孙虹;,,33.2,1,1
飞鹰艾迪,喜剧/运动/传记,2016/3/18,克里斯托弗·沃肯;休·杰克曼;塔伦·埃格顿;杰西卡·威廉姆斯;乔·哈特利;麦德斯·斯加德·彼..;蒂姆·麦克纳尼;拉斯科·阿特金斯;托尼·保罗·韦斯特;,20世纪福克斯电影公司;华夏电影发行有限责任公司;Contender ;Seville Pictures ;HanWay Films ;中国电影集团公司;,Studio Babelsberg ;Marv Films ;Seville Productions ;,德克斯特·弗莱彻;,,670.5,1,1
饥饿游戏,,2013/11/21,伊丽莎白·班克斯;唐纳德·萨瑟兰;利亚姆·海姆斯沃斯;托比·琼斯;乔什·哈切森;伊莎贝拉·弗尔曼;斯坦利·图齐;伍迪·哈里森;蓝尼·克罗维兹;韦斯·本特利;詹妮弗·劳伦斯;,华夏电影发行有限责任公司;Tanweer Films ;Cathay-Keris Films ;狮门影业公司;Spentzos Films ;Eagle Films ;Forum Hungary ;Mongkol Major ;Noori Pictures ;Warner Bros. Pictures International ;,狮门影业公司;,加里·罗斯;,,17465.120000,2,2
饥饿游戏2:星火燎原,动作/科幻/冒险/惊悚,2013/11/21,伊丽莎白·班克斯;唐纳德·萨瑟兰;利亚姆·海姆斯沃斯;吉娜·马隆;托比·琼斯;乔什·哈切森;斯坦利·图齐;伍迪·哈里森;蓝尼·克罗维兹;詹妮弗·劳伦斯;菲利普·塞默·霍夫曼;,,狮门影业公司;,弗朗西斯·劳伦斯;,,17194.2,1,1
饥饿游戏3：嘲笑鸟（上）,动作/科幻/冒险/惊悚,2015/2/8,伊丽莎白·班克斯;杰弗里·怀特;唐纳德·萨瑟兰;利亚姆·海姆斯沃斯;吉娜·马隆;托比·琼斯;山姆·克拉弗林;约翰·卫斯理·查塔姆;娜塔莉·多默;马赫莎拉哈什巴兹·..;薇洛·西尔德斯;乔什·哈切森;罗伯特·克耐普;斯坦利·图齐;埃尔登·汉森;米歇尔·佛贝丝;伍迪·哈里森;朱丽安·摩尔;罗恩·斯塔福德;詹妮弗·劳伦斯;菲利普·塞默·霍夫曼;,华夏电影发行有限责任公司;,狮门影业公司;,弗朗西斯·劳伦斯;,,22497.9,1,1
饥饿游戏3：嘲笑鸟（下）,动作/科幻/冒险/惊悚,2015/11/20,伊丽莎白·班克斯;杰弗里·怀特;唐纳德·萨瑟兰;利亚姆·海姆斯沃斯;吉娜·马隆;托比·琼斯;奥米德·阿布塔希;山姆·克拉弗林;约翰·卫斯理·查塔姆;娜塔莉·多默;马赫莎拉哈什巴兹·..;薇洛·西尔德斯;乔什·哈切森;罗伯特·克耐普;斯坦利·图齐;埃尔登·汉森;米歇尔·佛贝丝;伍迪·哈里森;艾尔温·蕾克;格温多兰·克里斯蒂;梅塔·戈尔丁;杰夫·马修·格洛弗;朱丽安·摩尔;威尔·弗拉斯卡;乔·克里斯特;加里·西沃斯;詹妮弗·劳伦斯;菲利普·塞默·霍夫曼;,华夏电影发行有限责任公司;,狮门影业公司;,弗朗西斯·劳伦斯;,,14349.4,1,1
香气,爱情,2014/8/15,安琥;陈燃;李祥祥;海阳;沈智瑗;漆亚灵;老豹;朴施厚;殷叶子;,华夏电影发行有限责任公司;北京云影博纳影视发行有限公司;,立卓兴宇影视传媒广告（北京）有限公司;沐泽影视传媒（上海）有限公司;,曾翠珊;,,239.1,1,1
马小乐之玩具也疯狂,动画,2016/4/30,李佳怡;姜广涛;,北京环鹰时代文化传媒有限公司;,中影动画产业有限公司;江西凯天动漫有限公司;江西凯天动漫有限公司上海;中国电影集团公司;中国电影股份有限公司;,黄军;,,741.8,1,1
马达加斯加3,,2013/5/3,布莱恩·科兰斯顿;汤姆·麦克格雷斯;萨莎·拜伦·科恩;杰西卡·查斯坦;大卫·休默;塞德里克·凯尔斯;本·斯蒂勒;马丁·肖特;约翰·迪·玛吉欧;安迪·里查克;帕兹·维嘉;克里斯·洛克;弗兰西斯·麦克多蒙德;贾达·萍克·史密斯;,派拉蒙影业公司;United International Pictures (UIP) ;Forumcinemas ;,美国梦工厂影片公司;,埃里克·达尼尔;汤姆·麦克格雷斯;康拉德·弗农;,,20987.360000,2,2
马达加斯加的企鹅,动画/喜剧/悬疑,2014/11/14,本尼迪克特·康伯巴奇;汤姆·麦克格雷斯;彼得·斯特曼;克里斯·米勒;约翰·马尔科维奇;沃纳·赫尔佐格;克里斯托弗·奈特;安内特·莫翰德鲁;肯·郑;,华夏电影发行有限责任公司;,,埃里克·达尼尔;西蒙·j·史密斯;,,25321.8,1,1
马达加斯加：狐猴之岛,剧情/科教片,2016/2/5,摩根·弗里曼;,,,,,0,1,1
驯龙高手2,动画,2014/8/14,白百何;林更新;蒋雯丽;杰拉德·巴特勒;克里斯汀·韦格;杰伊·巴鲁切尔;克雷格·费格森;克里斯托夫·梅兹-..;亚美莉卡·费雷拉;乔纳·希尔;t·j·米勒;,华夏电影发行有限责任公司;,美国梦工厂影片公司;Mad Hatter Entertainment ;,迪恩·德布洛斯;,,40324.2,1,1
骇战,科幻/爱情/悬疑,2013/3/14,陈柏霖;梁正群;蔡纬嘉;李凤新;林玟谊;郭雪芙;陈意涵;修杰楷;,,影市堂股份有限公司;台北影业股份有限公司;阿荣企业有限公司;星木映像股份有限公司;,林世勇;,,299.4,1,1
高举爱,,2013/2/7,恬妞;张颂文;杜汶泽;张同祖;江若琳;恭硕良;小肥;徐正曦;,乐视影业（北京）有限公司;,寰宇娱乐有限公司;广州英明文化传播有限公司;乐视影业（北京）有限公司;香港电影发展基金会;山西电影制片厂(有限公司);,邱礼涛;,,387.580000,2,2
高海拔之恋2,,2013/2/14,恬妞;黄奕;王宝强;高圆圆;李光洁;杨奕;古天乐;刘浩龙;郑秀文;孙嘉;李海涛;傅传杰;孙嘉一;季晨;,广州美亚华天下电影发行有限公司;,香港寰亚电影有限公司;银河映像（香港）有限公司;中影寰亚音像制品有限公司;,杜琪峰;,,2141.610000,2,2
高跟鞋先生,喜剧/爱情,2016/2/14,陈学冬;余心恬;薛凯琪;肖骁;李媛;王祖蓝;霍思燕;杜江;,乐视影业（北京）有限公司;,乐视影业（北京）有限公司;北京小马当红文化传媒有限公司;,陆可;,,12994.5,1,1
高铁英雄,动画,2013/8/16,李正翔;周帅;张安琪;夏磊;樊俊航;海帆;赵乾景;沈达威;杨鸥;刘北辰;王晓彤;刘钦;,华夏电影发行有限责任公司;,华夏电影发行有限责任公司;常州广播电台;江苏卡龙动画影视传媒股份有限公司;,吴治邦;,,118.7,1,1
魁拔,,2012/12/31,张磊;张杰;周志强;马海峰;凌云;张震;李世荣;陈浩;姜广涛;李立宏;张凯;竹内顺子;杨默;敖磊;郭政建;冯盛;樱井孝宏;刘婧荦;宋明;季冠霖;关俊彦;,,上海炫动传播股份有限公司;北京青青树动漫科技有限公司;,王川;,,499.410000,2,2
魁拔Ⅲ战神崛起,动画,2014/10/1,王凯;刘露;敖磊;刘婧荦;,万达影视传媒有限公司;,北京青青树动漫科技有限公司;天津市滨海新区青青树动漫科技有限公司;,王川;,,2430.8,1,1
魁拔之大战元泱界,动画,2013/5/31,王凯;杨晨;刘露;关俊彦;瞿澳晖;敖磊;郭政建;刘婧荦;,天津博纳文化传媒有限公司;,天津市滨海新区青青树动漫科技有限公司;,王川;,,2529.9,1,1
魔兽,动作/冒险/奇幻/战争,2016/6/8,崔维斯·费米尔;托比·凯贝尔;本·福斯特;本·施耐泽;多米尼克·库珀;罗伯特·卡辛斯基;宝拉·巴顿;鲁丝·内伽;克兰西·布朗;吴彦祖;安娜·加尔文;特拉维斯·费梅尔;瑞恩·罗宾斯;丹尼尔·库德摩尔;葆拉·帕顿;考乐姆·吉斯·雷尼;,United International Pictures (UIP) ;华夏电影发行有限责任公司;环球影业公司;Universal Pictures International (UPI) ;Universal Pictures International ;Andes Films ;Westec Media Limited ;华纳兄弟影片公司;华纳兄弟公司;Finnkino Oy ;东宝东和;Karantanija Cinemas ;美国华纳兄弟影片公司;中国电影集团公司;环球影业;,华谊兄弟传媒股份有限公司;传奇影业;环球影业公司;北京太合娱乐文化发展股份有限公司;腾讯影业;亚特拉斯娱乐公司;暴雪娱乐;中国电影集团公司;环球影业;亚特拉斯娱乐;,邓肯·琼斯;,nicholas s. carpenter;stuart fenegan;亚历克斯·加特纳;乔·贾希尼;克里斯·梅森;michael morhaime;brent o'connor;查尔斯·罗文;paul w. sams;jillian share zaks;托马斯·图尔;rebecca steel roven;,147195.3,1,1
魔卡行动,动作/喜剧,2015/10/16,张馨予;乔任梁;陈静;蔡宜达;任达华;白凯南;玛莉亚·嘉西亚·古欣娜塔;,上海华宇电影股份有限公司;麒力（上海）文化传媒有限公司;,上海华宇电影股份有限公司;上海影酷数字电影院线有限公司;,姜国民;,,282.7,1,1
魔境仙踪,动作/冒险/奇幻,2013/3/29,比尔·考布斯;罗伯特·斯托姆伯格;罗恩·考西;扎克·布拉夫;詹姆斯·弗兰科;阿比盖尔·斯宾赛;泰德·雷米;布鲁斯·坎贝尔;米拉·库妮丝;托尼·考克斯;马丁·科勒巴;蕾切尔·薇姿;乔伊·金;,,华特·迪斯尼影片公司;Roth Films ;,山姆·雷米;,,16421.9,1,1
魔宫魅影,惊悚/悬疑/爱情/剧情,2016/4/29,李菁;黄磊;景岗山;孟瑶;林江国;张子枫;任达华;林心如;杨祐宁;黄幻;何云伟;,华夏电影发行有限责任公司;北京和润超凡电影发行放映有限公司;博纳影业集团;,博纳影视娱乐有限公司;杭州和润影视有限公司;北京微影时代科技有限公司;北京和润鸿蒙影视文化有限公司;东阳弘景影视;东阳弘景影视文化有限公司;福建时代众乐影业有限公司;博纳影业集团;,叶伟民;Wai Man Yip ;,文隽;,8842.1,1,1
魔幻仙踪,动画,2014/5/30,,北京安石英纳影视文化有限公司;大地时代电影发行（北京）有限公司;浙江时代电影大世界有限公司;浙江星光电影院线有限公司;,浙江中南卡通股份有限公司;浙江蓝巨星国际传媒有限公司;,方磊;,,2186.6,1,1
