爱情,77.1,77.2,2014/1/8,不爱不散,2014/1/10,不爱不散,不爱不散,林雪,上海凯羿影视传播有限公司;,北京海润影业有限公司,周君,
纪实/历史,178,177.87,2013/7/18,不肯去观音,2013/7/26,不肯去观音,不肯去观音,牛犇,,无锡广播电视集团,张鑫;,
爱情/青春,1668.3,1663.27,2014/10/23,不能说的夏天,2014/10/24,不能说的夏天,不能说的夏天,戴立忍,,星美(北京)影业有限公司,王维明;,
爱情,14.3,14.19,2015/3/5,不能错过,2015/12/10,不能错过,不能错过,曾虹畅,北京国龙影业发行股份有限公司;,北京奇百奇文化传媒有限公司,杜奇泉,
喜剧/爱情,11.6,11.54,2013/3/8,不要迷恋姐,2013/3/8,不要迷恋姐,不要迷恋姐,博林,华夏电影发行有限责任公司;,华夏电影发行有限责任公司,钟萱;,
喜剧/爱情,8.2,8.18,2015/2/6,不见不散,2015/2/6,不见不散,不见不散,葛优,华谊兄弟传媒股份有限公司;,北京电影制片厂,冯小刚;,
惊悚/悬疑/犯罪,392.3,391.73,2016/3/23,不速之客,2016/3/18,不速之客,不速之客,黎明,北京红色果实文化传播有限公司;,福建恒业影业有限公司,林大雄;,李亮文
,,,,,,,与妻书,佟大为,华夏电影发行有限责任公司,华夏电影发行有限责任公司,王小列;,
,,556.52,2013/4/19,与时尚同居,,,与时尚同居,林雪,,星光国际传媒（集团）有限公司,尹丽川;,
爱情/悬疑,48.4,48.31,2014/8/29,与贼同屋,2014/8/29,与贼同屋,与贼同屋,张瑶,北京今典影业有限公司;,北京中视汇影文化投资有限公司;,刘小春;,
动画,432.2,432.13,2016/7/2,丑小鸭历险记,2016/7/2,丑小鸭历险记,丑小鸭历险记,小鱼,北京基点影视文化传媒有限公司;,广州塔秀动漫科技有限公司,郑义,郑义
爱情,5.2,5.29,2014/5/27,丑男大翻身,2014/5/27,丑男大翻身,丑男大翻身,念贤儿,北京映画天下传媒文化有限公司;,北京盛世德合国际文化传播有限公司,王猛;,
剧情,425.2,,,,2014/5/23,世界屋脊的歌声,世界屋脊的歌声,王仁君;,,山东省泰安市广播电视台,王文杰;,
,,,,,,,丛林拯救记,,,北京鼎力成长影视文化传媒有限公司;,,
,,1516.26,2013/1/12,丛林有情狼,,,丛林有情狼,贾斯汀·朗,A-Film Distribution ,狮门影业家庭娱乐公司;,,
喜剧/犯罪/悬疑,91.4,92.14,2015/8/23,东北偏北,2015/12/11,东北偏北,东北偏北,李滨,合一影业有限公司,合一影业有限公司,张秉坚;,
喜剧,,,,,2016/9/30,东北往事之破马张飞,东北往事之破马张飞,贾乃亮,,福建恒业影业有限公司,郭大雷;,
,,,,,,,东成西就2011,苗圃,大地时代电影文化传播(北京)有限公司;,北京新影联影业有限责任公司,刘镇伟;,
纪实/纪录片,49.3,49.57,2013/6/27,东方中国梦,2013/6/27,东方中国梦,东方中国梦,果静林,华夏电影发行有限责任公司;,乐在（北京）文化传播有限公司;,杨真;,
纪实/革命/历史,0.1,,,,2015/11/17,东方欲晓,东方欲晓,王霙,,国家新闻出版广电总局电影卫星频道节目制作中心,安澜;,
爱情,10.5,10.46,2015/9/11,东莞女孩,2015/9/11,东莞女孩,东莞女孩,方青卓,肇庆天艺文化传媒有限公司;,肇庆天艺文化传媒有限公司,董振业,
,,61.29,2016/9/8,丝路英雄·云镝,2016/9/13,丝路英雄·云镝,丝路英雄·云镝,潘时七,中毓北京文化传媒有限公司;,承德非凡影视文化传媒有限责任公司,杨小朴,
剧情,,8.05,2016/9/9,丢羊,2015/7/15,丢羊,丢羊,任帅;,,兰州浩发影视传媒有限公司;,汪小平;,
剧情,,,,,2016/6/1,严冬里的春天,严冬里的春天,罗家英,,,罗永昌;,
爱情/励志/青春,53880.3,53762.38,2013/5/3,中国合伙人,2013/5/17,中国合伙人,中国合伙人,佟大为,星美(北京)影业有限公司,香港寰亚电影有限公司,陈可辛;,
歌舞/纪实,301.6,301.34,2013/12/24,中国好声音之为你转身,2013/12/27,中国好声音之为你转身,中国好声音之为你转身,华少,北京光线影业有限公司;,浙江金球影业有限公司,蔡于位;,
爱情/喜剧,10108.4,10165.91,2014/8/18,临时同居,2014/8/21,临时同居,临时同居,杨颖,安乐（北京）电影发行有限公司,安乐影片有限公司,卓韵芝;,
爱情/喜剧,68.6,68.64,2016/4/22,临时约定,2016/4/15,临时约定,临时约定,董立范,北京盛雅文化传媒有限公司;,北京盛雅文化传媒有限公司,曹剑;,曹剑;
爱情/喜剧,0.1,0.1,2015/6/24,临沧的诱惑,2015/6/24,临沧的诱惑,临沧的诱惑,由立平,峨眉电影集团有限公司;,云南民族电影制片厂;,陈明新;,
惊悚/喜剧,781.9,779.79,2013/5/13,临终囧事,2013/5/16,临终囧事,临终囧事,景岗山,浙江博纳影视制作有限公司;,杭州和润影视有限公司;,钱江汉;,
剧情/主旋律/农村/现实,400.2,398.2,2015/7/17,为了这片土地,2015/7/1,为了这片土地,为了这片土地,,,北方联合影视集团有限公司;,宁敬武;,
,,,,,,,为你而来,郑凯,北京新影联影业有限责任公司,国家新闻出版广电总局电影卫星频道节目制作中心,瞿友宁;,
爱情,46.27,45.32,2016/9/8,为爱放手,2016/9/9,为爱放手,为爱放手,姜潮,深圳善为影业股份有限公司,唐城文化传媒股份有限公司;,罗敏;,
剧情,0,,,,2015/11/27,乌珠穆沁的孩子,乌珠穆沁的孩子,,,内蒙古巨典文化影视传媒有限公司;,,
,,,,,,,乌鲁木齐的天空,曹曦文,华夏电影发行有限责任公司;,天山电影制片厂;,西尔扎提·亚合甫;,
,,272.13,2013/1/2,乌龙戏凤2012,,,乌龙戏凤2012,赵立新,上海华宇电影股份有限公司;,北京华录百纳影视股份有限公司,罗安得;,
动画,7.4,7.17,2013/6/29,乐乐熊奇幻追踪,2013/6/29,乐乐熊奇幻追踪,乐乐熊奇幻追踪,,中影新农村数字放映有限公司;,重庆享弘影视股份有限公司;,成宝钢;,
,,506.86,2013/4/18,乐翻天,,,乐翻天,宁静,北京光线影业有限公司;,星光国际传媒（集团）有限公司,王岳伦;,
歌舞,5.8,5.81,2013/1/12,乐队,2012/7/4,乐队,乐队,江老蔫儿,,北京派华文化发展有限公司;,彭磊;,
纪录片/传记,1259.2,1265.48,2013/9/25,乔布斯,2013/9/27,乔布斯,乔布斯,维克多·罗塞克,华夏电影发行有限责任公司;,Silver Reel ;,约书亚·迈克尔·斯坦恩;,
动作/惊悚/魔幻/冒险,68280.2,68235.16,2015/9/27,九层妖塔,2015/9/30,九层妖塔,九层妖塔,王庆祥,乐视影业（北京）有限公司,乐视影业（北京）有限公司,陆川;,
,5197.45,11069.44,2016/9/7,九条命,2016/9/9,九条命,九条命,凯文·史派西,EuropaCorp. Distribution ,法国欧罗巴电影公司,巴里·索南菲尔德;,Mark Gao 
爱情,3.4,,,,2015/2/15,乡村不寂寞,乡村不寂寞,,河南郑州冰点奥斯卡院线广告有限公司;,寻梦文化传媒（北京）有限公司,,
剧情,31.3,31.31,2013/6/1,乡间童谣,2013/6/1,乡间童谣,乡间童谣,杨政,,山西创艺影视制片责任公司;,大飞;,
剧情/主旋律,1.1,1.09,2013/12/12,乳娘情,2013/12/10,乳娘情,乳娘情,韩月乔,,中国电影家协会,任飞;,
喜剧/爱情,,,,,2016/8/23,了不起的处女座,了不起的处女座,,,浙江乐观影业有限公司;,,
爱情,8506.3,8495.06,2013/8/29,了不起的盖茨比,2013/8/30,了不起的盖茨比,了不起的盖茨比,莱昂纳多·迪卡普里奥,华夏电影发行有限责任公司;,,巴兹·鲁尔曼;,
剧情/纪录片,0,,,,2015/11/11,二十二,二十二,,,四川七国文化传播有限公司;,郭柯;,
爱情/悬疑,10738.7,10727.87,2013/1/1,二次曝光,2012/9/29,二次曝光,二次曝光,范冰冰,北京劳雷影业有限公司,北京劳雷影业有限公司,李玉;,
,,20.06,2013/8/13,云上太阳,,,云上太阳,龚旋,,北京云上太阳影视文化有限公司;,丑丑;,
,,,,,,,云下的日子,张涵予,北京博纳影视文化交流有限公司;,珠江电影制片有限公司,闫然;,
剧情/传记/冒险,9079.3,9075.87,2016/1/21,云中行走,2016/1/22,云中行走,云中行走,克雷蒙·史鲍尼,华夏电影发行有限责任公司,索尼电影娱乐公司,罗伯特·泽米吉斯;,
,,,,,,,云之锦,吕中,华夏电影发行有限责任公司;,上海张瑜影视文化发展有限责任公司;,张瑜;,
科幻/惊悚/悬疑,17019.8,17008.05,2013/1/21,云图,2013/1/31,云图,云图,朱珠,华夏电影发行有限责任公司,深圳市新原野娱乐传媒有限公司,安迪·沃卓斯基,
,,172.35,2013/6/26,五女拜寿,,,五女拜寿,宋谷,,湖南乐田电影媒体有限公司;,张伟国;,
,,1557.83,2013/6/2,五月天追梦3DNA,,,五月天追梦3DNA,林雪,北京小马奔腾文化传媒股份有限公司,卧虎藏龙国际文化传媒（北京）有限公司,孔玟燕,
惊悚/悬疑,880,879.95,2015/1/10,亡命地中海,2015/1/10,亡命地中海,亡命地中海,克尔斯滕·邓斯特,华夏电影发行有限责任公司;,Working Title Films ;,霍辛·阿米尼;,
惊悚/剧情/悬疑,41216.1,41218.83,2014/7/15,京城81号,2014/7/18,京城81号,京城81号,秦海璐,上海电影股份有限公司影视发行分公司,福建恒业影业有限公司,叶伟民;,
,,,,,,,亲亲我,高明,华夏电影发行有限责任公司;,江阴市天普文化传播有限公司,柳杰;,
,,,,,,,亲家过年,张丰毅,北京云影博纳影视发行有限公司;,北京唐德国际文化传媒有限公司,叶伟民;,
,,,,,,,亲密敌人,徐静蕾,,江苏幸福蓝海影业有限责任公司,徐静蕾;,
爱情,60.5,60.49,2013/4/26,亲爱,2013/5/10,亲爱,亲爱,余男,华夏电影发行有限责任公司,上海七贤影视文化传媒有限公司,李欣蔓;,
剧情/家庭,34468.8,34458.4,2014/9/18,亲爱的,2014/9/25,亲爱的,亲爱的,佟大为,星美(北京)影业有限公司,星美(北京)影业有限公司,陈可辛;,
惊悚/恐怖/悬疑,226.1,226.67,2015/7/9,亲，别怕鬼宅凶灵,2015/7/10,亲，别怕鬼宅凶灵,亲，别怕鬼宅凶灵,刘静怡,广东大地电影院线有限公司,武汉数字领海电影科技有限责任公司,曹安俊,
喜剧/公路,126800.1,126813.04,2012/12/31,人再囧途之泰囧,2012/12/12,人再囧途之泰囧,人再囧途之泰囧,范冰冰,华夏电影发行有限责任公司,北京光线影业有限公司,徐峥;,
爱情,0,,,,2014/7/25,人在征途,人在征途,柏青,,北京星路志合文化传媒有限公司;,崔守杰;,
喜剧,0,1.97,2016/7/9,人在驴途,2015/9/23,人在驴途,人在驴途,张亚光,,红色凯歌（北京）文化传媒有限公司,杨林;,
,,118.73,2013/4/7,人山人海,,,人山人海,陶虹,,北京宏成越天技术发展有限公司,蔡尚君,
