亡命地中海,惊悚/悬疑,2015/1/10,克尔斯滕·邓斯特,华夏电影发行有限责任公司;,Working Title Films ;,霍辛·阿米尼;,,880,1,1
京城81号,惊悚/剧情/悬疑,2014/7/18,秦海璐,上海电影股份有限公司影视发行分公司,福建恒业影业有限公司,叶伟民;,,41216.1,1,1
亲爱,爱情,2013/5/10,余男,华夏电影发行有限责任公司,上海七贤影视文化传媒有限公司,李欣蔓;,,60.5,1,1
亲爱的,剧情/家庭,2014/9/25,佟大为,星美(北京)影业有限公司,星美(北京)影业有限公司,陈可辛;,,34468.8,1,1
亲，别怕鬼宅凶灵,惊悚/恐怖/悬疑,2015/7/10,刘静怡,广东大地电影院线有限公司,武汉数字领海电影科技有限责任公司,曹安俊,,226.1,1,1
人再囧途之泰囧,喜剧/公路,2012/12/12,范冰冰,华夏电影发行有限责任公司,北京光线影业有限公司,徐峥;,,126800.1,1,1
人在征途,爱情,2014/7/25,柏青,,北京星路志合文化传媒有限公司;,崔守杰;,,0,1,1
人在驴途,喜剧,2015/9/23,张亚光,,红色凯歌（北京）文化传媒有限公司,杨林;,,0,1,1
人山人海,,2013/4/7,陶虹,,北京宏成越天技术发展有限公司,蔡尚君,,118.73,2,2
人狼大战,,2013/2/1,本·布雷,Dutch FilmWorks (DFW) ,,乔·卡纳汉;,,3839.61,2,2
人生不能重来,剧情,2013/8/28,廖学秋,,商丘市天元文化传播有限公司;,,,25.9,1,1
人皮拼图,惊悚/恐怖/悬疑,2015/9/18,熊乃瑾,鑫岳影业;,鑫岳影业,辛成江,,405.9,1,1
人间·小团圆,爱情/家庭,2014/5/8,吴孟达,华谊兄弟传媒股份有限公司;,香港银都机构有限公司,彭浩翔;,,1430.8,1,1
人间蒸发,惊悚/悬疑,2013/4/28,柳岩,华夏电影发行有限责任公司;,星光联盟文化发展（北京）有限公司,梁德森;,,433.5,1,1
今天明天,动画,2013/7/6,,,重庆享弘影视股份有限公司;,刘左峰;,,34.4,1,1
从你的全世界路过,,2016/9/29,邓超,北京光线影业有限公司,北京光线影业有限公司,张一白;,田甜;,14043.06,2,1
从哪来，到哪去,喜剧/儿童,2014/9/16,霍尊,,浙江华彰文化策划有限公司,吴琴;,,12.8,1,1
从天“儿”降,喜剧/爱情/科幻,2015/12/4,章子怡,北京星光灿烂影视文化有限公司,乐视影业（北京）有限公司,魏民,,5653.3,1,1
他是龙,,2016/8/19,玛利亚·波兹哈娃,Bazelevs Production ;,Bazelevs Production ,英达尔·珍杜巴耶夫;,提莫·贝克曼贝托夫,6008.92,1,1
伞头和他的女人,爱情,2015/1/9,丁柳元,东阳映月影视文化传媒有限公司,,牛建荣;,,6.3,1,1
传奇状元伦文叙,纪录片/戏曲,2015/7/3,,北京缘起文化发展有限公司;,,邓原;,,17.9,1,1
伦敦陷落,动作/惊悚/犯罪,2016/4/8,摩根·弗里曼,SND ,千年影业,巴巴克·纳加非;,杰拉德·巴特勒,2066,1,1
伴我同行,剧情,2015/5/28,,,北京白泽国际影业有限责任公司;,,,3.8,1,1
低碳爱情,爱情,2016/8/25,王泷正,大连东方瑞迪文化传媒有限公司;,大连东方瑞迪文化传媒有限公司,李昂;,,0.9,1,1
何以笙箫默,爱情,2015/4/30,佟大为,广东金逸珠江电影院线有限公司,乐视影业（北京）有限公司,黄斌,,35351.1,1,1
